front,back,hint,publishedAt
"juna","train","Juna lähtee kello kolme.","2025-12-12T19:19:40.915Z"
"kokous","meeting","Voimmeko aloittaa kokouksen nyt?","2026-01-12T12:03:05.450Z"
"juosta","run","Lapset juoksevat puistossa.","2025-12-12T19:18:41.706Z"
"vuokranantaja","Landlord, renter","Vuokranantaja on vastuussa asunnon kunnossapidosta.","2025-12-12T19:19:39.881Z"
"Argumentti","argument","Väittelyn aikana jokainen opiskelija esitti argumenttinsa selkeästi.","2026-01-11T19:04:32.201Z"
"myöhä","late","Olen myöhä tänään.","2025-12-12T19:20:11.948Z"
"ei mitään","nothing","Tarvitsetko apua? Ei mitään, pärjään itse.","2025-12-12T19:18:30.563Z"
"iso","big","Se on iso talo.","2025-11-30T15:01:49.948Z"
"keittokomero","kitchenette","Keittokomerossa on jääkaappi ja liesi.","2025-12-12T19:20:07.089Z"
"kuntoinen","fit","Hän on hyvässä kunnossa ja erittäin kuntoinen urheilija.","2025-12-12T19:19:17.451Z"
"likainen","dirty","Vaatteeni ovat likaiset.","2025-12-12T19:19:58.717Z"
"monelta sulle sopii?","What time suits you?","Montelta sulle sopii tavata viikonloppuna?","2025-12-12T19:19:04.172Z"
"eristetty","isolated","Uusi opiskelija tunsi olonsa eristetyksi luokkahuoneessa.","2026-01-11T19:04:25.561Z"
"Tuleeks muuta?","anything else?","Oletko valmis? Tuleeks muuta ennen kuin lähdetään?","2025-11-30T15:00:10.955Z"
"hypätä","jump","Lapset hypivät trampoliinilla.","2026-01-18T18:44:11.061Z"
"rangaistus","a punishment","Hän sai rangaistuksen sääntöjen rikkomisesta pelin aikana.","2026-01-11T19:04:28.520Z"
"Tein (tehdä)","I tried","Tein yrityksen ratkaista palapelin.","2026-01-12T12:02:16.641Z"
"rautatieasema","railway station","Missä on lähin rautatieasema?","2025-12-12T19:20:26.688Z"
"varaus","reservation","Voitko tarkistaa varauksen numeron?","2025-12-12T19:20:36.069Z"
"mielellä","with pleasure","Tein sen mielelläni.","2025-12-12T19:20:10.805Z"
"mitä kello on?","what time is it?","Voisitko kertoa, mitä kello on nyt?","2025-12-12T19:18:53.912Z"
"sosiaalinen","social","Hän on sosiaalinen ihminen.","2026-01-19T08:11:30.597Z"
"munkki","doughnut","Ostin munkin kahvilasta.","2025-12-12T19:20:15.558Z"
"polkupyörä","bicycle","Minulla on uusi polkupyörä.","2025-12-12T19:20:31.330Z"
"häiritä","disturb","Älä häiritse minua, kun yritän keskittyä.","2025-12-12T19:18:40.877Z"
"unohtaa","forget","Minä unohdin avaimeni kotiin.","2026-01-14T05:36:24.496Z"
"polvi","knee","Minun polveni sattuu.","2026-01-18T18:44:30.253Z"
"tanssia","dance","Me tanssimme juhlavalla illallisella.","2025-12-12T19:18:53.230Z"
"keski","middle","Keskiarvo on tärkeä luku.","2026-01-15T13:41:17.436Z"
"valmistautua","prepare","Minun täytyy valmistautua kokeeseen.","2026-01-19T14:27:00.036Z"
"en ehdi","I don't have time","Valitettavasti en ehdi osallistumaan kokoukseen huomenna.","2025-12-12T19:19:05.390Z"
"ihana","lovely","Järven rannalla on ihana telttailla.","2026-01-15T10:39:05.919Z"
"näkötorni","observation tower","Me menemme tänään näkötorniin.","2025-12-12T19:20:14.049Z"
"tunti","hour","Seuraava tunti alkaa kello kolme.","2025-12-12T19:18:55.820Z"
"aloittaa","to start","Voimmeko aloittaa kokouksen nyt?","2026-01-12T11:56:39.280Z"
"kaksio","one bedroom (2 room apartment)","Me etsimme uutta kaksioita Helsingistä.","2025-12-12T19:19:29.565Z"
"mustamakkara","black pudding","Ostin tänään mustamakkaraa torilta.","2025-12-12T19:20:17.140Z"
"elokuvin","cinema","Me vietämme illan elokuvin.","2025-12-12T19:19:03.314Z"
"peili","mirror","Ostin uuden peilin makuuhuoneeseen.","2025-12-12T19:20:02.729Z"
"hymyillä","smile","Muista hymyillä, kun otat kuvia!","2025-12-12T19:18:40.616Z"
"kohta","soon, shortly","Se on tärkeä kohta kirjassa.","2025-11-30T15:01:45.159Z"
"leveä","wide","Joki on leveä tässä kohdassa.","2025-12-12T19:19:56.864Z"
"vaatehuone","walk-in wardrobe","Minulla on uusi vaatehuone, johon voin laittaa kaikki vaatteeni.","2025-12-12T19:20:07.510Z"
"vyö","belt","Minulla on uusi vyö.","2025-12-12T19:18:23.053Z"
"aamupala","breakfast","Minä syön aamupalan joka aamu.","2025-12-12T19:18:28.079Z"
"taulu","picture","Taululla on kauniita kuvia.","2025-12-12T19:20:00.446Z"
"beige","beige","Minulla on beige takki.","2025-12-09T10:59:57.041Z"
"matka","travel","Me teemme matkan Helsinkiin ensi viikolla.","2026-01-14T05:36:15.326Z"
"yllätys","surprise","Minulla on sinulle yllätys!","2026-01-15T11:41:27.928Z"
"kengät","shoes","Missä kengät ovat?","2025-12-09T11:01:06.998Z"
"käyks sopiiks maanantina?","How about on Monday?","Käyks sopiiks maanantina pelata jalkapalloa?","2025-12-12T19:19:04.653Z"
"pitkä","tall","Se on pitkä tie.","2025-11-30T15:01:52.064Z"
"lenkille","for a jog","Menemme tänään lenkille puistoon.","2025-12-12T19:19:03.568Z"
"avain","Key","Missä avain on?","2025-12-12T19:20:49.193Z"
"kaukosäädin","remote control","Voit vaihtaa kanavaa kaukosäätimellä.","2025-12-12T19:19:59.721Z"
"hallitus","the government","Suomen hallitus teki päätöksen veronkorotuksesta.","2026-01-11T19:04:18.150Z"
"vapaa pääsy","free access","Taidemuseossa on vapaa pääsy tänään.","2025-12-12T19:20:29.164Z"
"lukea","read","Minä luen kirjaa.","2025-12-12T19:18:28.465Z"
"nostaa","lift","Hän nosti kätensä ilmaan.","2025-12-12T19:19:43.798Z"
"annetaan","given at","Kirjat annetaan oppilaille koulussa.","2025-12-29T11:39:59.373Z"
"mummi","Grandma","Minun mummi leipoo aina herkullisia kakkuja.","2025-12-09T10:59:51.362Z"
"asiakas","customer","Asiakas on aina oikeassa.","2025-12-09T11:01:05.369Z"
"tila","a space","Huoneen tila on siisti.","2025-12-12T19:19:31.074Z"
"etulyönti","advantage","Hänellä on etulyönti kilpailussa, koska hän on harjoitellut enemmän.","2026-01-11T19:04:24.058Z"
"museokeskus","museum centre","Me menemme museokeskukseen tänään.","2025-12-12T19:20:13.431Z"
"olohuone","living room","Me katsomme elokuvia olohuoneessa.","2025-12-12T19:19:46.042Z"
"alue","area","Meidän on tutkittava tätä aluetta tarkemmin.","2025-12-09T10:59:10.547Z"
"isovanhemmat","Grandparents","Minun isovanhemmat asuvat maalla.","2025-12-09T10:59:53.140Z"
"helposti","easily","Hän voi juosta helposti kilometrejä.","2026-01-11T19:04:25.249Z"
"soittaa","call","Hän soittaa pianoa.","2025-11-30T15:00:48.319Z"
"liivit","bra","Hänellä on päällään uudet liivit.","2026-01-06T10:31:55.345Z"
"sänky","bed","Minulla on uusi sänky.","2025-12-12T19:20:01.407Z"
"otatko","Will you take? ottaa, otat","Otanko kahvia?","2025-12-12T19:18:56.855Z"
"muuten","by the way","En voi tulla tänään, muuten olisin tullut.","2025-12-12T19:20:17.981Z"
"olla päässä","on the mind","Hänellä on tärkeä päätös mielessä, ja hän miettii sitä jatkuvasti.","2025-12-12T19:18:24.776Z"
"mennänks uimaan?","Shall we go swimming?","“Mennänks uimaan, kun aurinko paistaa?”","2025-12-12T19:19:02.745Z"
"naurra","laugh","Hän nauroi niin, että kyyneleet valuivat.","2025-12-12T19:18:51.105Z"
"ihan","very","Se on ihan hieno idea.","2025-12-12T19:19:40.694Z"
"Sääntö","Rule","Kaikilla oppilailla on oltava säännöt mielessä, kun he osallistuvat kilpailuun.","2026-01-12T12:00:43.422Z"
"linna","castle","Helsingin linna on kaunis rakennus.","2025-12-12T19:20:21.474Z"
"laittaa","put","Minulla on uusi laatikko, johon voin laittaa lelut.","2026-01-18T12:20:29.261Z"
"ei vielä","not yet","","2025-11-30T15:01:00.630Z"
"lämmin","warm","Juon lämpimän kaakaon.","2025-11-30T15:01:19.105Z"
"sen jälkeen","after that","Menimme elokuviin, ja sen jälkeen söimme illallista.","2025-12-12T19:18:27.449Z"
"sohvapöytä","coffee table","Meillä on uusi sohvapöytä olohuoneessa.","2025-12-12T19:19:59.304Z"
"poikaystävä","boyfriend","Minulla on poikaystävä.","2025-12-09T10:59:20.750Z"
"töissä","employed","Hän on töissä sairaalassa.","2025-12-09T10:59:19.139Z"
"korkea","high","Se vuori on todella korkea.","2025-12-12T19:19:56.381Z"
"lehti","newspaper / leaf","Puussa on kauniita vihreitä lehtiä.","2025-12-12T19:18:28.744Z"
"tummanpunainen","dark red","Hänellä on tummanpunainen mekko.","2025-12-09T10:59:56.257Z"
"autotalli","garage","Meillä on iso autotalli.","2025-12-12T19:20:09.178Z"
"tukea","to support","Haluan tukea ystävääni hänen vaikeina aikoinaan.","2026-01-11T19:04:12.045Z"
"kahdelta","at two","Me tapaamme kahdelta.","2025-12-12T19:18:33.893Z"
"vastapuoli","counterparty","Väittelyssä on tärkeää kuunnella myös vastapuolen argumentteja.","2026-01-13T12:27:58.491Z"
"Yritys","Company","Yritys päätti vähentää työvoimaansa.","2026-01-22T10:33:50.378Z"
"päättää","decide","Minä päätän, mitä syömme tänään.","2026-01-22T10:33:54.586Z"
"asukas","Resident","Asukas voi osallistua kaupungin kokouksiin.","2025-12-12T19:20:05.794Z"
"hirveän","terribly","Hän on hirveän väsynyt.","2025-12-12T19:19:41.346Z"
"vähentää","to decrease","Yritys päätti vähentää työvoimaansa.","2026-01-11T19:04:23.460Z"
"sai (saada in past)","got, received","Hän sai rangaistuksen sääntöjen rikkomisesta pelin aikana.","2026-01-12T12:23:29.835Z"
"lisäksi","moreover","En pitänyt kengistä; lisäksi ne olivat erittäin kalliit.","2026-01-11T19:04:19.160Z"
"lempi","favorite","Se on minun lempi elokuvani.","2025-12-12T19:18:25.487Z"
"tehty","done","Ruoka on tehty valmiiksi.","2025-11-30T15:02:23.171Z"
"näyttö","Display","Minulla on uusi näyttö tietokoneelleni.","2025-12-12T19:19:42.186Z"
"toimisto","office","Minä menen toimistoon joka aamu.","2025-11-30T15:02:10.368Z"
"äiti","Mum","Äiti, voisitko auttaa minua läksyissä?","2025-12-09T10:59:43.951Z"
"syntymä","a birth","Elokuva näyttää lapsen syntymän.","2026-01-11T19:04:27.145Z"
"yleensä","usually","Yleensä syön aamupalan ennen koulua.","2025-12-12T19:18:29.666Z"
"mihin aikaan?","At what time?","Mihin aikaan tapaamme huomenna?","2025-12-12T19:18:56.027Z"
"Muistaa","Remember","Muista hymyillä, kun otat kuvia!","2026-01-13T19:30:27.972Z"
"pestä","wash","Äiti pesee pyykit.","2025-12-12T19:18:51.682Z"
"yksiö","studio apartment","Minä etsin yksiötä Helsingistä.","2025-12-12T19:20:04.696Z"
"tupakka","Tobacco","Hän polttaa tupakkaa joka päivä.","2026-01-02T21:40:26.035Z"
"pestä hampaat","brush teeth","Muista pestä hampaat ennen nukkumaanmenoa.","2025-12-12T19:18:38.954Z"
"nurmikoista","on grasses","Lapset leikkivät nurmikoista puistossa.","2025-12-12T19:20:54.494Z"
"ruudullinen","plaid, checked","Hänellä on päällään ruudullinen paita.","2025-12-12T19:18:25.151Z"
"henki / hengen","spirit / mental","Hengen voima on tärkeä osa ihmisen hyvinvointia.","2025-12-12T19:20:36.314Z"
"tarjous","offer","Meillä on nyt tarjous kaikista tuotteista.","2025-12-12T19:20:18.799Z"
"tekee","dose","Äiti tekee ruokaa.","2025-12-12T19:20:54.286Z"
"tarha","garden","Meillä on kaunis tarha takapihalla.","2026-01-22T10:30:42.096Z"
"mummo","grandma","Minun mummo leipoo aina herkullisia pullia.","2025-12-09T10:59:47.886Z"
"vahinko","damage","Onnettomuus aiheutti vakavaa vahinkoa.","2026-01-11T19:04:31.756Z"
"saunoa","to sauna","Hän saunoi ystäviensä kanssa eilen.","2025-12-12T19:18:52.650Z"
"makuuhuone","bedroom","Minulla on iso makuuhuone.","2025-12-12T19:20:06.826Z"
"postitoimipaikka","postal address","Missä on lähin postitoimipaikka?","2025-11-30T15:02:20.472Z"
"viipyä","to stay","Hän viipyi ystävien luona koko viikonlopun.","2025-12-12T19:20:51.707Z"
"tavaratalo","department store","Tavaratalossa on paljon alennuksia.","2025-12-12T19:20:23.695Z"
"metro","metro","Menemme metrolla keskustaan.","2025-12-09T11:00:18.754Z"
"sähköpostitse","an email","Voit lähettää kysymyksesi sähköpostitse.","2025-11-30T15:02:23.481Z"
"mies","man, husband","Hän on hyvä mies.","2025-12-09T10:59:44.770Z"
"täynnä","full","Huone on täynnä ihmisiä.","2025-12-12T19:20:53.438Z"
"työvoimaa","labour force","Työvoiman saatavuus vaikuttaa yritysten kasvuun.","2026-01-22T10:34:02.390Z"
"menen","I go","Menen kouluun.","2025-12-12T19:19:01.529Z"
"liittyä","join","Hän lähetti pyynnön liittyä klubiin.","2026-01-13T19:56:54.217Z"
"On sateista","It's rainy","Kun on sateista, pysytään sisällä.","2025-11-30T15:01:56.592Z"
"peli","game","Hän voitti pelin viime hetkellä.","2026-01-12T12:00:09.958Z"
"eläintarha","zoo","Me menemme tänään eläintarhaan katsomaan leijonia.","2025-12-12T19:20:23.790Z"
"lentää","fly","Me lennämme Helsinkiin ensi viikolla.","2025-12-12T19:18:50.046Z"
"siivota","clean","Minun täytyy siivota huoneeni.","2025-12-12T19:18:53.054Z"
"jälkeen","after something","Syömisen jälkeen menimme ulos.","2025-12-12T19:18:39.835Z"
"punainen","red","Taivas on punainen auringonlaskun aikaan.","2025-12-09T11:00:05.141Z"
"sanoa","say","Voitko sanoa sen uudelleen?","2025-12-12T19:18:39.148Z"
"kuunnella","to listen","Väittelyssä on tärkeää kuunnella myös vastapuolen argumentteja.","2026-01-13T12:27:45.394Z"
"kitaraa","guitar","Hän oppi soittamaan kitaraa.","2026-01-18T12:11:33.507Z"
"yksinhuoltaja","single parent","Hän on yksinhuoltaja, joka työskentelee kahdessa työpaikassa.","2025-12-09T10:59:22.154Z"
"viihtyisä","attractive","Olohuoneemme on hyvin viihtyisä.","2025-12-12T19:19:30.267Z"
"väsynyt","tired","Olen väsynyt koulun jälkeen.","2025-12-12T19:18:37.906Z"
"veli","brother","Minulla on yksi veli.","2025-12-09T10:59:26.147Z"
"bändi","band","Meidän bändi soittaa tänä iltana.","2026-01-18T12:11:37.066Z"
"minä tulen","i will come","Minä tulen ystäväni syntymäpäiväjuhliin.","2025-12-12T19:18:59.618Z"
"mun täytyy","I need to","Mun täytyy mennä kouluun tänään.","2025-12-12T19:19:01.857Z"
"laatikko","box","Minulla on uusi laatikko, johon voin laittaa lelut.","2025-12-12T19:19:44.302Z"
"mennä uimaan","go swimming","Huomenna me mennään uimaan järveen.","2025-12-12T19:18:57.984Z"
"korjata","repair","Voitko korjata tämän virheen?","2025-12-12T19:18:49.674Z"
"työkaveri","colleague","Minun työkaverini on todella mukava.","2025-12-12T19:18:32.348Z"
"vakuutus","insurance","Ostin vakuutuksen suojatakseni autoni onnettomuuksilta.","2026-01-11T19:04:31.494Z"
"sinulle","for you","Ostin sinulle lahjan.","2025-11-30T14:59:57.631Z"
"kirja","book","Onko sinulla kirjaa, jota voin lainata?","2025-12-12T19:18:38.160Z"
"eteinen","hallway","Meillä on iso eteinen, jossa on paljon tilaa.","2025-12-12T19:20:07.765Z"
"eteen","before us","Upea maisema avautui meidän eteemme.","2026-01-14T05:39:37.503Z"
"tapaamisen","appointment","Meillä on tapaamisen ensi viikolla.","2025-12-29T11:26:28.502Z"
"ulos","out","Jätä se ulos, se on liian kuuma sisällä.","2025-12-12T19:19:42.879Z"
"vuosi","year","Olen kymmenen vuotta vanha.","2025-11-30T15:02:00.168Z"
"Väittely","Debate","Väittelyssä on tärkeää kuunnella myös vastapuolen argumentteja.","2026-01-12T12:24:54.959Z"
"tarkalleen","exactly","Tiedän tarkalleen, miltä sinusta tuntuu.","2026-01-11T19:04:16.704Z"
"laulla","sing","Hän laulla kauniisti kesäillassa.","2025-12-12T19:18:49.843Z"
"hyväkuntoinen","in good condition","Tämä auto on vielä hyväkuntoinen.","2025-12-12T19:19:17.662Z"
"tytär","daughter","Hänen tyttärensä on hyvin lahjakas.","2025-12-09T10:59:25.501Z"
"edessä","in front","Auto on edessäni.","2026-01-27T18:44:40.732Z"
"taito","skill","Opettaja kehittää oppilaidensa taitoja.","2026-01-18T12:10:11.744Z"
"lahja","gift","Ostin lahjan sinua varten.","2026-01-13T19:11:20.824Z"
"täytyy","must","Minun täytyy mennä kouluun.","2025-12-12T19:20:49.726Z"
"täynnä (sth)","full of sth","Laatikko on täynnä kirjoja.","2026-01-11T19:04:26.796Z"
"kietoa","to wrap","Hän kietoi lahjan kauniiseen paperiin.","2026-01-13T19:31:09.249Z"
"Voinko auttaa?","Can I help you?","Voinko auttaa sinua löytämään oikean tien?","2025-12-09T10:59:14.793Z"
"miksi","why","On helppo ymmärtää, miksi hän teki niin.","2026-01-13T14:12:13.646Z"
"usein","often","Minä käyn usein kirjastossa.","2025-12-12T19:18:35.712Z"
"sininen","blue","Minulla on sininen paita.","2025-12-09T11:00:04.393Z"
"syödä","eat","Minä syön omenan.","2025-12-12T19:18:29.335Z"
"tuliainen","a present","Ostin tuliaisen ystävälleni matkaltani.","2025-12-12T19:20:09.983Z"
"harjoitus","training","Harjoitus tekee mestarin.","2026-01-24T08:24:25.444Z"
"viimeisenä mutta ei vähäisimpänä","last but not least","Hän kiitti vanhempiaan, ystäviään ja viimeisenä mutta ei vähäisimpänä, uskollista koiraansa.","2026-01-11T19:04:25.754Z"
"mukaan","along","Tuon ystäväni mukaan.","2026-01-27T18:40:35.289Z"
"sillä","for, because","En voi tulla, sillä olen sairas.","2025-12-09T11:00:31.493Z"
"mieli","mind","Hänellä on hyvä mieli tänään.","2026-01-21T05:41:20.148Z"
"leipä","bread","Voitko tuoda leipää kaupasta?","2025-12-12T19:18:30.250Z"
"farkkutakki","denim jacket","Minulla on uusi farkkutakki.","2025-12-09T10:59:16.097Z"
"ehtiä","to make it on time","Meidän täytyy juosta, jos haluamme ehtiä bussiin.","2025-12-12T19:19:00.570Z"
"osallistua","get involved","Haluan osallistua kilpailuun.","2026-01-21T05:41:26.791Z"
"sateenvarjo","umbrella","Ostin uuden sateenvarjon, koska vanha oli rikki.","2025-12-12T19:18:23.699Z"
"näemme","we see","Näemme kauniin auringonlaskun tänään.","2025-12-12T19:19:02.042Z"
"juusto","cheese","Teemme juustopastaa illalliseksi.","2026-01-18T09:04:32.029Z"
"opiskella","study","Minä opiskelen suomea.","2025-12-12T19:18:51.478Z"
"lastentarha","a kindergarten","Siskoni työskentelee opettajana paikallisessa lastentarhassa.","2026-01-11T19:04:25.284Z"
"rinta","breast","Hänellä on vahva rinta.","2026-01-06T10:31:38.519Z"
"rappukäytävä","staircase","Muista sulkea ovi rappukäytävään.","2025-12-12T19:20:08.947Z"
"tapaamisen sopiminen","arranging a meeting","Voimmeko sopia tapaamisen ensi viikolle?","2025-12-12T19:19:02.481Z"
"seinä","wall","Seinä on valkoinen.","2026-01-18T16:47:31.621Z"
"sijainti","location","Missä on tämän ravintolan sijainti?","2025-12-12T19:19:30.022Z"
"puku","suit","Ostin kauniin puvun kesäjuhliin.","2025-12-09T11:01:09.512Z"
"eno","uncle","Minun enoni on todella hauska.","2025-12-09T10:59:43.997Z"
"Hyväksyntä","approval","Mies sai hyväksynnän pomoltaan.","2026-01-11T19:04:31.302Z"
"vartti","quarter","Se on vartti yli kolme.","2025-12-12T19:18:56.027Z"
"yöpyä","stay overnight","Me aiomme yöpyä hotellissa viikonloppuna.","2025-12-12T19:20:18.276Z"
"talvella","in winter","Talvella on kylmä.","2026-02-03T06:34:06.064Z"
"pusero","sweater","Minulla on uusi pusero.","2025-12-09T11:00:30.948Z"
"eri","different","Minun sukulaiseni asuvat eri maissa.","2026-01-15T10:55:15.526Z"
"imuroida","vacuum","Minun täytyy imuroida olohuone.","2025-12-12T19:18:41.090Z"
"maailma","World","Maailma on kaunis paikka.","2025-11-30T14:59:35.144Z"
"yhteydenotto","getting in touch","Yhteydenotto ystävään voi olla tärkeää.","2025-12-12T19:19:39.613Z"
"todella","really","Minun vaimoni on todella taitava kokki.","2026-01-12T15:56:55.230Z"
"meluisa","noisy","Naapurini ovat todella meluisia.","2026-01-11T19:04:24.382Z"
"kohda","place","Joki on leveä tässä kohdassa.","2026-01-14T05:38:00.449Z"
"tukeva","supportive","Tuoli on tukeva ja mukava istua.","2025-12-09T11:00:09.998Z"
"pesuallas","sink","Pesuallas on täynnä vettä.","2025-12-12T19:20:02.260Z"
"kanta-asiakaskortti","loyalty card","","2025-12-09T11:01:07.895Z"
"vähäisimpänä","least","Hän piti vähäisimpänä ongelmana aikataulun myöhästymistä.","2026-01-21T07:56:39.410Z"
"velka","debt","Minulla on paljon velkaa.","2026-01-11T19:04:22.951Z"
"isä","father","Isä, voisitko auttaa minua?","2025-12-09T10:59:41.460Z"
"vanhemmat","Parents","Minun vanhemmat asuvat Helsingissä.","2025-12-09T10:59:46.664Z"
"vaikka","although","Hän on nuori, vaikka hänellä on paljon kokemusta.","2025-12-12T19:18:58.882Z"
"käydä suihkussa","have a shower","Minä aion käydä suihkussa nyt.","2025-12-12T19:18:26.793Z"
"löytää","find","","2025-12-15T08:47:03.149Z"
"ilman","without","Hänen vakavaa ilmeensä kertoi kaiken ilman sanoja.","2026-01-24T09:20:34.843Z"
"Joki","River","Joki on leveä tässä kohdassa.","2026-01-14T05:53:07.506Z"
"ilmainen","free","Saamme ilmaiset liput konserttiin.","2025-12-12T19:20:28.927Z"
"esittää","present","Väittelyn aikana jokainen opiskelija esitti argumenttinsa selkeästi.","2026-01-12T12:18:37.543Z"
"uusperhe","New family","Meidän uusperheessä on kolme lasta.","2025-12-09T10:59:20.173Z"
"pomo","boss","Minun pomoni on todella mukava.","2026-01-14T05:35:49.841Z"
"tuntea","to feel","Minä tunnen surua.","2026-01-21T07:58:15.115Z"
"suljettu","closed","Liike on suljettu tänään.","2025-12-12T19:20:30.123Z"
"Sisu","The ability to keep going despite difficulties.","Hänellä on paljon sisuä vaikeuksien keskellä.","2026-01-18T08:49:00.173Z"
"vaan","but","En halua kahvia, vaan teetä.","2025-12-09T10:59:38.245Z"
"lähin","nearest","Missä on lähin pysäköinti?","2026-01-15T10:48:25.053Z"
"hampurilanen","hamburger","Haluan syödä hampurilaisen lounaaksi tänään.","2026-01-18T08:51:07.730Z"
"tarra","sticker","Voit käyttää tarroja koristellaksesi kortteja.","2026-01-18T16:29:09.559Z"
"kävellä","walk","Minä kävelen puistossa.","2025-12-12T19:18:32.676Z"
"seisoa","stand","Me seisomme jonossa.","2025-12-12T19:18:52.845Z"
"pyöräillä","to ride a bicycle","Minä pyöräilen joka aamu kouluun.","2025-12-12T19:18:52.471Z"
"vaaleansininen","light blue","Taivaan väri on vaaleansininen.","2025-12-09T10:59:55.252Z"
"lisävuode","extra bed","Meillä on lisävuode vieraille.","2025-12-12T19:20:50.467Z"
"pukea päälle","get dressed","Minun täytyy pukea päälle ennen kuin lähden ulos.","2025-12-12T19:18:27.134Z"
"arkipäivä","weekdays","Minä menen kouluun arkisin.","2024-10-22T19:09:12.667Z"
"tietää","know","Hän tietää paljon eläimistä.","2026-01-25T14:56:18.200Z"
"herätä","wake up","Herätä minut kello seitsemältä.","2025-12-12T19:18:25.789Z"
"ikkuna","window","Avataan ikkuna, jotta saadaan raikasta ilmaa.","2025-12-12T19:19:43.106Z"
"nämä","these","Nämä ovat minun ystäväni.","2025-11-30T15:00:18.424Z"
"onnettomuus","accident","Lääkäri saapui välittömästi onnettomuuden jälkeen.","2026-01-12T11:58:36.172Z"
"avata","to open","Voitko avata oven?","2025-12-12T19:18:40.220Z"
"liukastua","slip","Hän liukastui jäällä ja kaatui.","2026-01-18T08:52:10.134Z"
"viikset","moustache","Hänellä on paksut viikset.","2025-12-09T11:00:12.899Z"
"lahjakas","talented","Hänen tyttärensä on hyvin lahjakas.","2026-01-15T10:59:27.718Z"
"raidallinen","striped","Hän osti raidalliset sukat.","2025-12-12T19:18:24.439Z"
"Onks tästä L-kokoa","Is this available in size L?","","2025-12-09T11:00:27.644Z"
"teltta","Tent","Järven rannalla on ihana telttailla.","2026-01-14T05:36:55.412Z"
"rakkaus","love","Mitkä ovat sanat \"rakkaus\" ja \"ystävä\" tarkoittaa?","2026-01-17T07:48:54.322Z"
"vaatekauppa","clothes shop","Menin vaatekauppaan ostamaan uusia vaatteita.","2025-12-09T10:59:16.557Z"
"kehitys","Development","Koulutuksen kehitys on tärkeää yhteiskunnalle.","2026-01-19T05:29:06.919Z"
"polttaa","to burn","Hän polttaa tupakkaa ulkona.","2025-12-12T19:18:52.166Z"
"käyttää","use / wear","Hän käyttää lenkkitossuja koulussa.","2026-01-15T10:55:38.790Z"
"palapeli","jigsaw","Ostin uuden palapelin, joka on todella haastava.","2026-01-21T05:32:38.276Z"
"muroja","cereals","Minä syön muroja aamiaiseksi.","2025-12-12T19:18:29.971Z"
"sinne","to there","Menemme sinne huomenna.","2025-12-12T19:20:19.654Z"
"lammas","a sheep","Näimme lampaan syömässä ruohoa.","2026-01-11T19:04:26.908Z"
"ilmee","expression","Hänen ilmee kertoi, että hän oli onnellinen.","2026-01-24T09:20:21.931Z"
"sydän","heart","Hänellä on suuri sydän.","2026-01-24T09:18:22.342Z"
"Keskiarvo","Average","Keskiarvo on tärkeä luku.","2026-01-20T07:14:13.997Z"
"nousta","get up","Minun täytyy nousta aikaisin.","2025-12-12T19:18:51.283Z"
"ura","career / path","Ura markkinoinnissa voi olla hyvin palkitseva.","2026-01-18T12:10:00.858Z"
"lähdetään","let's go","Lähdetään ulos leikkimään!","2026-01-13T19:15:07.331Z"
"välittömästi","immediately","Lääkäri saapui välittömästi onnettomuuden jälkeen.","2026-01-11T19:04:28.521Z"
"kuin","than","Oletko valmis? Tuleeks muuta ennen kuin lähdetään?","2026-01-13T19:14:44.120Z"
"pelaamaan","the act of playing","Me menemme pelaamaan jalkapalloa puistoon.","2025-12-29T11:35:46.845Z"
"ostoskärry","shopping cart","Voit ottaa ostoskärryt, kun menet kauppaan.","2026-01-18T16:27:10.803Z"
"tehdä ruokaa","make food","Meidän täytyy tehdä ruokaa ennen vieraiden saapumista.","2025-12-12T19:18:32.066Z"
"huvipuisto","amusement park","Me menemme huvipuistoon tänään.","2025-12-12T19:20:16.378Z"
"tuote","Product","Ostin uuden tuotteen kaupasta.","2026-01-18T16:25:06.307Z"
"asua","live","Missä sinä asut?","2025-11-30T14:59:23.356Z"
"pukeä","to dress","Muista pukea lämpimästi, kun menet ulos.","2025-12-12T19:18:52.238Z"
"kaatua","to fall","Hän kaatui pyörällä.","2026-01-18T09:03:58.172Z"
"suloinen","lovely","Se koira on niin suloinen!","2025-12-09T11:00:09.158Z"
"lenkkarit","sneakers","Hän käyttää lenkkareita juoksulenkillä.","2025-12-12T19:18:19.879Z"
"pipo","a woolly hat","Hän unohti piponsa kotiin.","2025-12-12T19:18:21.894Z"
"lippu","ticket","Ostin lipun konserttiin.","2025-12-12T19:20:28.536Z"
"Tarviitko kuitta?","Need a receipt?","Kun maksat, kysyn: tarviitko kuitta?","2025-11-30T15:00:36.181Z"
"punnita","weigh","Voitko punnita tämän omenan?","2026-01-18T16:27:54.592Z"
"sovituskoppi","fitting room","Missä on lähin sovituskoppi?","2025-12-09T11:00:29.479Z"
"sisko","sister","Hän on nuorin siskoni.","2025-12-09T10:59:26.854Z"
"esitys","presentation / performance","Hän teki erinomaisen esityksen luokassa.","2026-01-22T10:43:00.081Z"
"kaulaliina","scarf","Hän kietoi kaulaliinan kaulaansa ennen ulos lähtemistä.","2025-12-12T19:18:23.346Z"
"luokka","class","Meillä on tänään matematiikan luokka.","2026-01-22T11:17:28.616Z"
